0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
-+-+-+-+-
() : 1363
(1, 17, 4) : 1
(1, 17, 5) : 1
(1, 17, 6) : 2
(1, 17, 7) : 1
(1, 17, 8) : 1
(1, 17, 9) : 7
(1, 17, 10) : 1
(1, 17, 12) : 3
(1, 18) : 5
(1, 18, 6) : 1
(1, 18, 7) : 1
(1, 18, 8) : 1
(1, 18, 9) : 3
(2, 1, 10) : 1
(2, 16, 7) : 1
(3,) : 88
(3, 0) : 6
(3, 0, 4) : 2
(3, 0, 5) : 1
(3, 0, 6) : 5
(3, 0, 7) : 4
(3, 0, 10) : 1
(3, 0, 11) : 1
(3, 0, 15) : 1
(3, 0, 16) : 4
(3, 1, 9) : 1
(3, 4) : 7
(3, 4, 0) : 5
(3, 4, 5) : 1
(3, 4, 6) : 16
(3, 4, 7) : 7
(3, 4, 10) : 2
(3, 4, 11) : 21
(3, 4, 13) : 1
(3, 4, 15) : 3
(3, 4, 16) : 2
(3, 5) : 2
(3, 5, 4) : 2
(3, 5, 6) : 2
(3, 5, 14) : 1
(3, 5, 16) : 2
(3, 6) : 32
(3, 6, 0) : 7
(3, 6, 1) : 1
(3, 6, 4) : 23
(3, 6, 5) : 2
(3, 6, 7) : 18
(3, 6, 9) : 1
(3, 6, 10) : 5
(3, 6, 11) : 7
(3, 6, 12) : 6
(3, 6, 13) : 1
(3, 6, 15) : 2
(3, 6, 16) : 8
(3, 6, 17) : 2
(3, 7) : 12
(3, 7, 0) : 6
(3, 7, 4) : 3
(3, 7, 5) : 1
(3, 7, 6) : 8
(3, 7, 10) : 1
(3, 7, 11) : 5
(3, 7, 12) : 2
(3, 7, 13) : 1
(3, 7, 15) : 1
(3, 7, 16) : 5
(3, 7, 17) : 2
(3, 8) : 3
(3, 8, 0) : 2
(3, 8, 6) : 1
(3, 8, 10) : 1
(3, 8, 11) : 1
(3, 9) : 2
(3, 9, 1) : 2
(3, 9, 4) : 1
(3, 9, 11) : 2
(3, 10, 0) : 1
(3, 10, 6) : 3
(3, 10, 7) : 3
(3, 10, 8) : 1
(3, 10, 14) : 1
(3, 10, 15) : 1
(3, 10, 16) : 2
(3, 10, 17) : 2
(3, 11) : 6
(3, 11, 4) : 5
(3, 11, 5) : 1
(3, 11, 6) : 6
(3, 11, 7) : 4
(3, 11, 8) : 1
(3, 11, 10) : 1
(3, 11, 13) : 2
(3, 11, 15) : 1
(3, 11, 16) : 4
(3, 12) : 2
(3, 12, 0) : 1
(3, 12, 4) : 2
(3, 12, 6) : 11
(3, 12, 7) : 1
(3, 12, 8) : 2
(3, 12, 14) : 1
(3, 12, 16) : 1
(3, 13) : 2
(3, 13, 8) : 1
(3, 13, 10) : 1
(3, 13, 12) : 1
(3, 14, 6) : 1
(3, 15) : 3
(3, 15, 6) : 2
(3, 15, 7) : 1
(3, 15, 8) : 2
(3, 15, 13) : 1
(3, 15, 16) : 1
(3, 16) : 4
(3, 16, 0) : 4
(3, 16, 1) : 1
(3, 16, 4) : 6
(3, 16, 6) : 8
(3, 16, 7) : 11
(3, 16, 9) : 1
(3, 16, 11) : 6
(3, 16, 13) : 1
(3, 16, 15) : 1
(3, 17, 5) : 1
(3, 17, 6) : 1
(3, 17, 7) : 1
(4,) : 523
(4, 0) : 96
(4, 0, 1) : 3
(4, 0, 3) : 5
(4, 0, 5) : 3
(4, 0, 6) : 188
(4, 0, 7) : 69
(4, 0, 8) : 1
(4, 0, 9) : 9
(4, 0, 10) : 8
(4, 0, 11) : 9
(4, 0, 12) : 8
(4, 0, 13) : 6
(4, 0, 15) : 6
(4, 0, 16) : 30
(4, 0, 18) : 4
(4, 1) : 11
(4, 1, 0) : 1
(4, 1, 3) : 1
(4, 1, 5) : 1
(4, 1, 6) : 15
(4, 1, 7) : 1
(4, 1, 8) : 3
(4, 1, 9) : 33
(4, 1, 10) : 1
(4, 1, 11) : 1
(4, 1, 12) : 2
(4, 1, 13) : 9
(4, 3) : 2
(4, 3, 0) : 3
(4, 3, 6) : 9
(4, 3, 7) : 4
(4, 3, 8) : 1
(4, 3, 9) : 1
(4, 3, 10) : 2
(4, 3, 11) : 11
(4, 3, 12) : 2
(4, 3, 13) : 1
(4, 3, 15) : 1
(4, 3, 16) : 6
(4, 5) : 2
(4, 5, 3) : 2
(4, 5, 6) : 3
(4, 5, 7) : 1
(4, 5, 10) : 1
(4, 5, 11) : 2
(4, 5, 12) : 1
(4, 5, 15) : 1
(4, 5, 16) : 1
(4, 5, 17) : 1
(4, 6) : 781
(4, 6, 0) : 277
(4, 6, 1) : 43
(4, 6, 3) : 21
(4, 6, 5) : 4
(4, 6, 7) : 257
(4, 6, 8) : 6
(4, 6, 9) : 92
(4, 6, 10) : 31
(4, 6, 11) : 86
(4, 6, 12) : 20
(4, 6, 13) : 25
(4, 6, 15) : 15
(4, 6, 16) : 38
(4, 6, 17) : 2
(4, 6, 18) : 16
(4, 7) : 94
(4, 7, 0) : 69
(4, 7, 1) : 4
(4, 7, 3) : 13
(4, 7, 5) : 4
(4, 7, 6) : 224
(4, 7, 8) : 1
(4, 7, 9) : 4
(4, 7, 10) : 11
(4, 7, 11) : 41
(4, 7, 12) : 2
(4, 7, 13) : 5
(4, 7, 14) : 2
(4, 7, 15) : 7
(4, 7, 16) : 110
(4, 7, 17) : 6
(4, 7, 18) : 1
(4, 8) : 1
(4, 8, 0) : 2
(4, 8, 3) : 1
(4, 8, 6) : 5
(4, 8, 7) : 1
(4, 8, 11) : 1
(4, 9) : 33
(4, 9, 0) : 7
(4, 9, 1) : 23
(4, 9, 5) : 2
(4, 9, 6) : 44
(4, 9, 7) : 3
(4, 9, 8) : 2
(4, 9, 10) : 2
(4, 9, 11) : 2
(4, 9, 12) : 7
(4, 9, 13) : 4
(4, 9, 15) : 1
(4, 9, 16) : 1
(4, 10) : 12
(4, 10, 0) : 1
(4, 10, 3) : 1
(4, 10, 5) : 2
(4, 10, 6) : 7
(4, 10, 7) : 5
(4, 10, 8) : 3
(4, 10, 9) : 2
(4, 10, 11) : 2
(4, 10, 12) : 1
(4, 10, 13) : 3
(4, 10, 15) : 1
(4, 10, 16) : 1
(4, 11) : 52
(4, 11, 0) : 23
(4, 11, 1) : 10
(4, 11, 3) : 16
(4, 11, 5) : 3
(4, 11, 6) : 122
(4, 11, 7) : 56
(4, 11, 8) : 3
(4, 11, 9) : 10
(4, 11, 10) : 6
(4, 11, 12) : 9
(4, 11, 13) : 10
(4, 11, 15) : 8
(4, 11, 16) : 22
(4, 11, 17) : 4
(4, 12) : 5
(4, 12, 0) : 11
(4, 12, 6) : 16
(4, 12, 7) : 7
(4, 12, 9) : 14
(4, 12, 10) : 2
(4, 12, 11) : 11
(4, 12, 13) : 2
(4, 12, 14) : 1
(4, 12, 16) : 1
(4, 12, 17) : 1
(4, 13) : 8
(4, 13, 0) : 6
(4, 13, 1) : 6
(4, 13, 5) : 1
(4, 13, 6) : 12
(4, 13, 7) : 4
(4, 13, 8) : 4
(4, 13, 9) : 3
(4, 13, 10) : 4
(4, 13, 11) : 5
(4, 13, 12) : 1
(4, 13, 15) : 1
(4, 14) : 1
(4, 14, 0) : 2
(4, 14, 3) : 1
(4, 14, 5) : 1
(4, 14, 6) : 1
(4, 14, 7) : 3
(4, 14, 11) : 1
(4, 14, 16) : 1
(4, 15) : 2
(4, 15, 0) : 7
(4, 15, 3) : 1
(4, 15, 6) : 11
(4, 15, 7) : 5
(4, 15, 10) : 3
(4, 15, 11) : 3
(4, 15, 12) : 1
(4, 15, 13) : 1
(4, 15, 16) : 3
(4, 16) : 22
(4, 16, 0) : 25
(4, 16, 1) : 1
(4, 16, 3) : 5
(4, 16, 5) : 1
(4, 16, 6) : 31
(4, 16, 7) : 45
(4, 16, 10) : 5
(4, 16, 11) : 7
(4, 16, 12) : 2
(4, 16, 13) : 3
(4, 16, 15) : 1
(4, 16, 17) : 1
(4, 17) : 3
(4, 17, 0) : 1
(4, 17, 1) : 1
(4, 17, 5) : 1
(4, 17, 6) : 5
(4, 17, 7) : 2
(4, 17, 11) : 2
(4, 17, 13) : 3
(4, 17, 16) : 2
(4, 18) : 11
(4, 18, 10) : 1
(5,) : 97
(5, 0) : 2
(5, 0, 3) : 2
(5, 0, 4) : 1
(5, 0, 6) : 9
(5, 0, 7) : 6
(5, 0, 8) : 1
(5, 0, 9) : 1
(5, 0, 10) : 3
(5, 0, 13) : 1
(5, 0, 14) : 1
(5, 0, 16) : 13
(5, 1, 3) : 1
(5, 1, 9) : 3
(5, 3) : 1
(5, 3, 0) : 3
(5, 3, 4) : 2
(5, 3, 6) : 4
(5, 3, 10) : 1
(5, 3, 11) : 1
(5, 3, 15) : 1
(5, 3, 16) : 1
(5, 4) : 2
(5, 4, 0) : 1
(5, 4, 1) : 1
(5, 4, 10) : 1
(5, 4, 11) : 4
(5, 4, 14) : 1
(5, 6) : 10
(5, 6, 0) : 2
(5, 6, 3) : 1
(5, 6, 4) : 6
(5, 6, 7) : 6
(5, 6, 8) : 1
(5, 6, 9) : 1
(5, 6, 10) : 11
(5, 6, 11) : 2
(5, 6, 13) : 1
(5, 6, 14) : 1
(5, 6, 15) : 1
(5, 6, 16) : 12
(5, 6, 18) : 1
(5, 7) : 10
(5, 7, 0) : 9
(5, 7, 3) : 1
(5, 7, 4) : 3
(5, 7, 6) : 15
(5, 7, 8) : 1
(5, 7, 9) : 1
(5, 7, 10) : 14
(5, 7, 15) : 2
(5, 7, 16) : 37
(5, 7, 17) : 1
(5, 8) : 1
(5, 8, 4) : 1
(5, 8, 7) : 2
(5, 8, 9) : 1
(5, 8, 10) : 1
(5, 8, 13) : 2
(5, 8, 15) : 1
(5, 9, 6) : 2
(5, 9, 13) : 1
(5, 9, 16) : 1
(5, 10) : 17
(5, 10, 0) : 6
(5, 10, 3) : 2
(5, 10, 6) : 6
(5, 10, 7) : 8
(5, 10, 8) : 3
(5, 10, 11) : 2
(5, 10, 12) : 2
(5, 10, 13) : 2
(5, 10, 14) : 3
(5, 10, 15) : 11
(5, 10, 16) : 27
(5, 10, 17) : 3
(5, 11, 1) : 1
(5, 11, 4) : 2
(5, 11, 6) : 1
(5, 11, 7) : 1
(5, 11, 10) : 2
(5, 11, 16) : 1
(5, 12) : 1
(5, 12, 3) : 1
(5, 12, 6) : 1
(5, 12, 7) : 2
(5, 12, 8) : 2
(5, 12, 10) : 1
(5, 12, 11) : 1
(5, 13, 6) : 2
(5, 13, 7) : 1
(5, 13, 8) : 1
(5, 13, 10) : 1
(5, 13, 15) : 2
(5, 13, 16) : 1
(5, 14) : 1
(5, 14, 0) : 2
(5, 14, 6) : 1
(5, 14, 7) : 3
(5, 14, 10) : 2
(5, 14, 11) : 1
(5, 14, 16) : 1
(5, 14, 17) : 3
(5, 15) : 1
(5, 15, 0) : 1
(5, 15, 4) : 1
